Code,Name,Geography,Area (sq km),Estimated Population mid-2022,2022 people per sq. km,Estimated Population mid-2011,2011 people per sq. km
E06000066,Somerset,Unitary Authority,3450.2893,576852,167,531581,154
E06000025,South Gloucestershire,Unitary Authority,497.05080000000004,294765,593,263417,530
E06000030,Swindon,Unitary Authority,230.09330000000003,235657,1024,209709,911
E06000027,Torbay,Unitary Authority,62.8869,139479,2218,131193,2086
E06000054,Wiltshire,Unitary Authority,3255.3379999999997,515885,158,474319,146
E10000008,Devon,County,6563.8439,826319,126,747709,114
E07000040,East Devon,Non-metropolitan District,814.2384,154500,190,133272,164
E07000041,Exeter,Non-metropolitan District,47.033100000000005,134939,2869,117063,2489
E07000042,Mid Devon,Non-metropolitan District,912.9008,83786,92,77936,85
E07000043,North Devon,Non-metropolitan District,1085.8924,100505,93,93976,87
E07000044,South Hams,Non-metropolitan District,886.5469,89812,101,83563,94
E07000045,Teignbridge,Non-metropolitan District,673.7596000000001,135952,202,124271,184
E07000046,Torridge,Non-metropolitan District,983.8005,68635,70,63973,65
E07000047,West Devon,Non-metropolitan District,1159.6722,58190,50,53655,46
E10000013,Gloucestershire,County,2652.5321000000004,652409,246,598289,226
E07000078,Cheltenham,Non-metropolitan District,46.596000000000004,119434,2563,115645,2482
E07000079,Cotswold,Non-metropolitan District,1164.5244,91311,78,83180,71
E07000080,Forest of Dean,Non-metropolitan District,525.9019999999999,87937,167,82200,156
E07000081,Gloucester,Non-metropolitan District,40.553000000000004,133522,3293,121921,3006
E07000082,Stroud,Non-metropolitan District,460.5423,123205,268,113074,246
E07000083,Tewkesbury,Non-metropolitan District,414.4144,97000,234,82269,199
W92000004,WALES,Country,20736.518,3131640,151,3063758,148
W06000001,Isle of Anglesey,Unitary Authority,712.0650999999999,69049,97,69913,98
W06000002,Gwynedd,Unitary Authority,2535.1434,117591,46,121523,48
W06000003,Conwy,Unitary Authority,1125.8225,114290,102,115326,102
W06000004,Denbighshire,Unitary Authority,836.9177000000001,96558,115,93919,112
W06000005,Flintshire,Unitary Authority,439.8302,155319,353,152666,347
W06000006,Wrexham,Unitary Authority,503.7737,135394,269,135070,268
W06000023,Powys,Unitary Authority,5180.6708,133891,26,133071,26
W06000008,Ceredigion,Unitary Authority,1784.9805999999999,71610,40,75293,42
W06000009,Pembrokeshire,Unitary Authority,1618.3444,124367,77,122613,76
W06000010,Carmarthenshire,Unitary Authority,2370.2764,189117,80,183961,78
W06000011,Swansea,Unitary Authority,377.61449999999996,241282,639,238691,632
W06000012,Neath Port Talbot,Unitary Authority,441.24449999999996,142158,322,139880,317
W06000013,Bridgend,Unitary Authority,250.7854,146136,583,139410,556
W06000014,Vale of Glamorgan,Unitary Authority,331.1487,133492,403,126679,383
W06000015,Cardiff,Unitary Authority,140.9144,372089,2641,345442,2451
W06000016,Rhondda Cynon Taf,Unitary Authority,424.1501,239018,564,234373,553
W06000024,Merthyr Tydfil,Unitary Authority,111.4462,58883,528,58851,528
W06000018,Caerphilly,Unitary Authority,277.3877,176130,635,178782,645
W06000019,Blaenau Gwent,Unitary Authority,108.728,67014,616,69812,642
W06000020,Torfaen,Unitary Authority,125.6984,92860,739,91190,725
W06000021,Monmouthshire,Unitary Authority,849.1441,93886,111,91508,108
W06000022,Newport,Unitary Authority,190.4312,161506,848,145785,766
S92000003,SCOTLAND,Country,77900.9307,5447700,70,5299900,68
S12000033,Aberdeen City,Council Area,185.5713,224190,1208,222460,1199
S12000034,Aberdeenshire,Council Area,6312.6277,263750,42,253650,40
S12000041,Angus,Council Area,2181.4523,114660,53,116200,53
S12000035,Argyll and Bute,Council Area,6906.8251,87920,13,88930,13
S12000036,City of Edinburgh,Council Area,263.395,514990,1955,477940,1815
S12000005,Clackmannanshire,Council Area,159.185,51750,325,51500,324
S12000006,Dumfries and Galloway,Council Area,6425.834699999999,145770,23,151410,24
S12000042,Dundee City,Council Area,59.8005,148350,2481,147200,2462
S12000008,East Ayrshire,Council Area,1262.1315,120390,95,122690,97
S12000045,East Dunbartonshire,Council Area,174.4891,108980,625,105000,602
